run_id,timestamp,sample_id,pfas_compound,concentration_ug_l,current_a,voltage_v,energy_kwh,flow_rate_l_min,electrode_pair,temperature_c,ph
RUN-2026-014,2026-01-10T09:00:00,LEACHATE-B12,PFOA,108.408,25.18,11.99,0.0,6.79,BDD-#1,22.22,7.48
RUN-2026-014,2026-01-10T09:05:00,LEACHATE-B12,PFOA,86.675,24.38,11.94,0.0243,7.16,BDD-#1,21.93,7.46
RUN-2026-014,2026-01-10T09:10:00,LEACHATE-B12,PFOA,69.44,25.45,11.8,0.0493,7.19,BDD-#1,22.26,7.43
RUN-2026-014,2026-01-10T09:15:00,LEACHATE-B12,PFOA,56.231,25.56,12.37,0.0756,7.14,BDD-#1,21.91,7.33
RUN-2026-014,2026-01-10T09:20:00,LEACHATE-B12,PFOA,44.318,23.83,11.95,0.0994,6.83,BDD-#1,22.17,7.32
RUN-2026-014,2026-01-10T09:25:00,LEACHATE-B12,PFOA,35.577,24.22,11.87,0.1233,7.06,BDD-#1,22.3,7.22
RUN-2026-014,2026-01-10T09:30:00,LEACHATE-B12,PFOA,28.887,25.08,11.89,0.1482,7.03,BDD-#1,22.42,7.18
RUN-2026-014,2026-01-10T09:35:00,LEACHATE-B12,PFOA,22.69,24.81,12.16,0.1733,7.05,BDD-#1,22.5,7.13
RUN-2026-014,2026-01-10T09:40:00,LEACHATE-B12,PFOA,18.317,24.99,12.11,0.1985,7.22,BDD-#1,22.56,7.04
RUN-2026-014,2026-01-10T09:45:00,LEACHATE-B12,PFOA,14.384,24.49,12.12,0.2233,7.06,BDD-#1,22.45,7.07
RUN-2026-014,2026-01-10T09:50:00,LEACHATE-B12,PFOA,11.57,25.53,12.13,0.2491,7.17,BDD-#1,22.49,6.98
RUN-2026-014,2026-01-10T09:55:00,LEACHATE-B12,PFOA,9.17,25.47,12.64,0.2759,7.02,BDD-#1,22.74,6.95
RUN-2026-014,2026-01-10T10:00:00,LEACHATE-B12,PFOA,7.368,25.04,11.88,0.3007,7.07,BDD-#1,22.64,6.92
RUN-2026-014,2026-01-10T10:05:00,LEACHATE-B12,PFOA,5.953,25.68,11.85,0.326,7.16,BDD-#1,22.53,6.87
RUN-2026-014,2026-01-10T10:10:00,LEACHATE-B12,PFOA,4.632,25.28,11.76,0.3508,6.64,BDD-#1,22.61,6.83
RUN-2026-014,2026-01-10T10:15:00,LEACHATE-B12,PFOA,3.78,24.48,12.18,0.3757,6.92,BDD-#1,22.7,6.75
RUN-2026-014,2026-01-10T10:20:00,LEACHATE-B12,PFOA,3.013,25.22,12.34,0.4016,6.88,BDD-#1,22.96,6.68
RUN-2026-014,2026-01-10T10:25:00,LEACHATE-B12,PFOA,2.386,24.42,11.97,0.426,6.84,BDD-#1,22.97,6.65
RUN-2026-014,2026-01-10T10:30:00,LEACHATE-B12,PFOA,1.889,25.53,11.75,0.451,6.93,BDD-#1,23.1,6.52
RUN-2026-014,2026-01-10T09:00:00,LEACHATE-B12,PFOS,75.054,25.18,11.99,0.0,6.79,BDD-#1,22.22,7.48
RUN-2026-014,2026-01-10T09:05:00,LEACHATE-B12,PFOS,62.626,24.38,11.94,0.0243,7.16,BDD-#1,21.93,7.46
RUN-2026-014,2026-01-10T09:10:00,LEACHATE-B12,PFOS,52.975,25.45,11.8,0.0493,7.19,BDD-#1,22.26,7.43
